"","y","period","trt","rep","id"
"88",0.436764705882353,18,"CBuild8",3,"CBuild8.3"
"89",0.4,19,"CBuild8",3,"CBuild8.3"
"90",0.354411764705882,20,"CBuild8",3,"CBuild8.3"
"91",0.508823529411765,21,"CBuild8",3,"CBuild8.3"
"92",0.604411764705882,22,"CBuild8",3,"CBuild8.3"
"93",0.65,23,"CBuild8",3,"CBuild8.3"
"94",0.607352941176471,24,"CBuild8",3,"CBuild8.3"
"95",0.604411764705882,25,"CBuild8",3,"CBuild8.3"
"96",0.619117647058824,26,"CBuild8",3,"CBuild8.3"
"97",0.666176470588235,27,"CBuild8",3,"CBuild8.3"
"98",0.663235294117647,28,"CBuild8",3,"CBuild8.3"
"99",0.613235294117647,29,"CBuild8",3,"CBuild8.3"
"100",0.857352941176471,30,"CBuild8",3,"CBuild8.3"
"101",0.982352941176471,31,"CBuild8",3,"CBuild8.3"
"102",0.966176470588235,32,"CBuild8",3,"CBuild8.3"
"103",0.807352941176471,33,"CBuild8",3,"CBuild8.3"
"104",0.997058823529412,34,"CBuild8",3,"CBuild8.3"
"105",0.95,35,"CBuild8",3,"CBuild8.3"
"106",0.325,1,"CBuild8",4,"CBuild8.4"
"107",0.258823529411765,2,"CBuild8",4,"CBuild8.4"
"108",0.376470588235294,3,"CBuild8",4,"CBuild8.4"
"109",0.345588235294118,4,"CBuild8",4,"CBuild8.4"
"110",0.225,5,"CBuild8",4,"CBuild8.4"
"111",0.413235294117647,6,"CBuild8",4,"CBuild8.4"
"112",0.330882352941176,7,"CBuild8",4,"CBuild8.4"
"113",0.389705882352941,8,"CBuild8",4,"CBuild8.4"
"114",0.404411764705882,9,"CBuild8",4,"CBuild8.4"
"115",0.416176470588235,10,"CBuild8",4,"CBuild8.4"
"116",0.472058823529412,11,"CBuild8",4,"CBuild8.4"
"117",0.470588235294118,12,"CBuild8",4,"CBuild8.4"
"118",0.570588235294118,13,"CBuild8",4,"CBuild8.4"
"119",0.398529411764706,14,"CBuild8",4,"CBuild8.4"
"120",0.410294117647059,15,"CBuild8",4,"CBuild8.4"
"121",0.455882352941176,16,"CBuild8",4,"CBuild8.4"
"122",0.447058823529412,17,"CBuild8",4,"CBuild8.4"
"123",0.473529411764706,18,"CBuild8",4,"CBuild8.4"
"124",0.476470588235294,19,"CBuild8",4,"CBuild8.4"
"125",0.469117647058824,20,"CBuild8",4,"CBuild8.4"
"126",0.482352941176471,21,"CBuild8",4,"CBuild8.4"
"127",0.547058823529412,22,"CBuild8",4,"CBuild8.4"
"128",0.601470588235294,23,"CBuild8",4,"CBuild8.4"
"129",0.507352941176471,24,"CBuild8",4,"CBuild8.4"
"130",0.564705882352941,25,"CBuild8",4,"CBuild8.4"
"131",0.419117647058824,26,"CBuild8",4,"CBuild8.4"
"132",0.420588235294118,27,"CBuild8",4,"CBuild8.4"
"133",0.570588235294118,28,"CBuild8",4,"CBuild8.4"
"134",0.560294117647059,29,"CBuild8",4,"CBuild8.4"
"135",0.472058823529412,30,"CBuild8",4,"CBuild8.4"
"136",0.582352941176471,31,"CBuild8",4,"CBuild8.4"
"137",0.666176470588235,32,"CBuild8",4,"CBuild8.4"
"138",0.605882352941176,33,"CBuild8",4,"CBuild8.4"
"139",0.663235294117647,34,"CBuild8",4,"CBuild8.4"
"140",0.605882352941176,35,"CBuild8",4,"CBuild8.4"
"141",0.204411764705882,1,"CBuild8",5,"CBuild8.5"
"142",0.192647058823529,2,"CBuild8",5,"CBuild8.5"
"143",0.136764705882353,3,"CBuild8",5,"CBuild8.5"
"144",0.229411764705882,4,"CBuild8",5,"CBuild8.5"
"145",0.316176470588235,5,"CBuild8",5,"CBuild8.5"
"146",0.245588235294118,6,"CBuild8",5,"CBuild8.5"
"147",0.294117647058824,7,"CBuild8",5,"CBuild8.5"
"148",0.266176470588235,8,"CBuild8",5,"CBuild8.5"
"149",0.302941176470588,9,"CBuild8",5,"CBuild8.5"
"150",0.351470588235294,10,"CBuild8",5,"CBuild8.5"
"151",0.345588235294118,11,"CBuild8",5,"CBuild8.5"
"152",0.270588235294118,12,"CBuild8",5,"CBuild8.5"
"153",0.241176470588235,13,"CBuild8",5,"CBuild8.5"
"154",0.291176470588235,14,"CBuild8",5,"CBuild8.5"
"155",0.280882352941176,15,"CBuild8",5,"CBuild8.5"
"156",0.289705882352941,16,"CBuild8",5,"CBuild8.5"
"157",0.266176470588235,17,"CBuild8",5,"CBuild8.5"
"158",0.264705882352941,18,"CBuild8",5,"CBuild8.5"
"159",0.283823529411765,19,"CBuild8",5,"CBuild8.5"
"160",0.220588235294118,20,"CBuild8",5,"CBuild8.5"
"161",0.264705882352941,21,"CBuild8",5,"CBuild8.5"
"162",0.355882352941176,22,"CBuild8",5,"CBuild8.5"
"163",0.323529411764706,23,"CBuild8",5,"CBuild8.5"
"164",0.422058823529412,24,"CBuild8",5,"CBuild8.5"
"165",0.370588235294118,25,"CBuild8",5,"CBuild8.5"
"166",0.398529411764706,26,"CBuild8",5,"CBuild8.5"
"167",0.392647058823529,27,"CBuild8",5,"CBuild8.5"
"168",0.338235294117647,28,"CBuild8",5,"CBuild8.5"
"169",0.435294117647059,29,"CBuild8",5,"CBuild8.5"
"170",0.588235294117647,30,"CBuild8",5,"CBuild8.5"
"171",0.583823529411765,31,"CBuild8",5,"CBuild8.5"
"172",0.619117647058824,32,"CBuild8",5,"CBuild8.5"
"173",0.65,33,"CBuild8",5,"CBuild8.5"
"174",0.619117647058824,34,"CBuild8",5,"CBuild8.5"
"175",0.598529411764706,35,"CBuild8",5,"CBuild8.5"
"176",0.142647058823529,1,"CBuild8",6,"CBuild8.6"
"177",0.202941176470588,2,"CBuild8",6,"CBuild8.6"
"178",0.201470588235294,3,"CBuild8",6,"CBuild8.6"
"179",0.210294117647059,4,"CBuild8",6,"CBuild8.6"
"180",0.232352941176471,5,"CBuild8",6,"CBuild8.6"
"181",0.289705882352941,6,"CBuild8",6,"CBuild8.6"
"182",0.345588235294118,7,"CBuild8",6,"CBuild8.6"
"183",0.288235294117647,8,"CBuild8",6,"CBuild8.6"
"184",0.488235294117647,9,"CBuild8",6,"CBuild8.6"
"185",0.380882352941176,10,"CBuild8",6,"CBuild8.6"
"186",0.408823529411765,11,"CBuild8",6,"CBuild8.6"
"187",0.386764705882353,12,"CBuild8",6,"CBuild8.6"
"188",0.483823529411765,13,"CBuild8",6,"CBuild8.6"
"189",0.473529411764706,14,"CBuild8",6,"CBuild8.6"
"190",0.516176470588235,15,"CBuild8",6,"CBuild8.6"
"191",0.473529411764706,16,"CBuild8",6,"CBuild8.6"
"192",0.473529411764706,17,"CBuild8",6,"CBuild8.6"
"193",0.492647058823529,18,"CBuild8",6,"CBuild8.6"
"194",0.452941176470588,19,"CBuild8",6,"CBuild8.6"
"195",0.510294117647059,20,"CBuild8",6,"CBuild8.6"
"196",0.508823529411765,21,"CBuild8",6,"CBuild8.6"
"197",0.707352941176471,22,"CBuild8",6,"CBuild8.6"
"198",0.654411764705882,23,"CBuild8",6,"CBuild8.6"
"199",0.688235294117647,24,"CBuild8",6,"CBuild8.6"
"200",0.738235294117647,25,"CBuild8",6,"CBuild8.6"
"201",0.7,26,"CBuild8",6,"CBuild8.6"
"202",0.748529411764706,27,"CBuild8",6,"CBuild8.6"
